CUSTOMER	RETAILER	TASK	FACILITY
Golden Bull Mktg.	sunjoyshop	Routing / Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	GBM_Walmart	Routing / Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	Ceva	Routing / Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	Walmart	Routing / Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	Lowes	Routing/Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	Amazon	Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	HomeDepot	Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	TractorSupply	Scheduling	Cotton (Glendale, AZ)
Golden Bull Mktg.	Wayfair	Scheduling	Cotton (Glendale, AZ)
PM & J	Target	Routing / Scheduling	Valley View (Buena Park, CA)
Soldier Sport	Dick's	Routing / Scheduling	Joliet (Joliet, IL)
Soldier Sport	Big5	Routing / Scheduling	Joliet (Joliet, IL)
Zuru	Waddell	Routing / Scheduling	Cotton (Waddell, AZ)
O5 Apparel	Dillards	Routing / Scheduling	Alessandro (Riverside, CA)
Ember Technologies Inc	Target	Routing / Scheduling	Valley View (Buena Park, CA)
Pepsi	Pepsi Waddell	Scheduling	Cotton (Glendale, AZ)
SharkNinja	COSTCO	Scheduling	Fontana (Fontana, CA)
SharkNinja	COSTCO CANADA	Scheduling	Fontana (Fontana, CA)
SharkNinja	MERCATALYST	Scheduling	Fontana (Fontana, CA)
SharkNinja	CANADIAN TIRE	Scheduling	Fontana (Fontana, CA)
Duke Cannon	Boomgars	Routing / Scheduling	Joliet (Joliet, IL)
O5 Apparel	Belk	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Amazon	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Ron Jon	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	The Buckle	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Glicks Co	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Ranch and Home	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Zappos	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	AAFES	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Von Maur	Routing / Scheduling	Alessandro (Riverside, CA)
Duke Cannon	Bump Boxes	Routing / Scheduling	Joliet (Joliet, IL)
Duke Cannon	Evolved Commerce	Scheduling	Joliet (Joliet, IL)
Karaka LLC	GNC	Routing / Scheduling	Valley View (Buena Park, CA)
Karaka LLC	CVS	Scheduling	Valley View (Buena Park, CA)
Karaka LLC	Target	Scheduling	Valley View (Buena Park, CA)
Karaka LLC	Walmart	Scheduling	Valley View (Buena Park, CA)
NATUS	AMAZON	Routing / Scheduling	Lincoln (Tacoma, WA)
Duke Cannon	Kohls	Routing / Scheduling	Joliet (Joliet, IL)
Star Elite	Target	Routing / Scheduling	Airport (Ontario, CA)
Zuru	Meijer	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	TJX / MARSHALLS	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	H-E-B	Scheduling	Seabrook (Pooler, GA)
Zuru	Dollar General	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	CVS	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Dollar Tree	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Family Dollar	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Kohls	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Sam's Club	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Target	Routing / Scheduling	Seabrook (Pooler, GA)
Zuru	Burlington	Routing / Scheduling	Seabrook (Pooler, GA)
NATUS	AMAZON.COM	Routing / Scheduling	Lincoln (Tacoma, WA)
NATUS	WAL-MART	Routing / Scheduling	Lincoln (Tacoma, WA)
TRIPLELITE	Ace Hardware	Routing / Scheduling	Valley View (Buena Park, CA)
O5 Apparel	TJX	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	MCX	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Backcountry	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Dick's	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Disney	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	PacSun	Routing / Scheduling	Alessandro (Riverside, CA)
O5 Apparel	Bealls	Routing / Scheduling	Alessandro (Riverside, CA)
Duke Cannon	TJ Maxx	Routing / Scheduling	Joliet (Joliet, IL)
BP LTL VALLEY VIEW	ALL RETAILERS	Scheduling	Valley View (Buena Park, CA)
Midea	Amazon	Scheduling	Alessandro (Riverside, CA)
SMEG	Amazon	Routing / Scheduling	Cesanek (Northampton, PA)
LTL (AMIELYNN/ PARALLAX) SCHEDULING	ALL RETAILERS	Scheduling	La Mirada (La Mirada, CA)
NZXT	Bestbuy	Routing / Scheduling	Valley View (Buena Park, CA)
SharkNinja	AMAZON	Scheduling	Fontana (Fontana, CA)
SharkNinja	SAMS	Scheduling	Fontana (Fontana, CA)
SharkNinja	UNITED DISTRIBUTION	Scheduling	Fontana (Fontana, CA)
SharkNinja	BJS	Scheduling	Fontana (Fontana, CA)
SharkNinja	TARGET	Scheduling	Fontana (Fontana, CA)
SharkNinja	Lowes	Scheduling	Fontana (Fontana, CA)
SharkNinja	ACE HARDWARE	Scheduling	Fontana (Fontana, CA)
SharkNinja	ENGLEWOOD	Scheduling	Fontana (Fontana, CA)
SharkNinja	Walmart	Scheduling	Fontana (Fontana, CA)
SharkNinja	Ross Stores	Scheduling	Fontana (Fontana, CA)
SharkNinja	TRADING EXPRESS	Scheduling	Fontana (Fontana, CA)
SharkNinja	WAYFAIR	Scheduling	Fontana (Fontana, CA)
SharkNinja	Ulta Beauty	Scheduling	Fontana (Fontana, CA)
SharkNinja	BASS PRO	Scheduling	Fontana (Fontana, CA)
SharkNinja	Macys	Scheduling	Fontana (Fontana, CA)
SharkNinja	Pricesmart	Scheduling	Fontana (Fontana, CA)
Delta Electronics	Hoome depot	Routing / Scheduling	Joliet (Joliet, IL)
Vitacoco	All Market Vitacoco	Scheduling	Ignition (Jacksonville, FL)
Lumistella	Five Below	Routing / Scheduling	Seabrook (Pooler, GA)
Orgain	Amazon	Routing / Scheduling	Valley View (Buena Park, CA)
TPV USA	Amazon	Routing / Scheduling	Valley View (Buena Park, CA)
Lumistella	Dollar General	Routing / Scheduling	Alessandro (Riverside, CA)
Star Elite	Amazon	Routing / Scheduling	Airport (Ontario, CA)
